Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc), Year
55,May 28,,SDP,"W,12-6",45,40,12,17,4,0,2,12,3,0,9,1,1,0,1,0,0,0,.251,.305,.392,.697,9,15,R,T.Stauffer (11),2014
56,May 29,,CIN,"W,4-0",36,33,4,10,3,1,1,3,3,1,5,0,0,0,0,1,1,0,.252,.306,.395,.701,8,10,L,T.Cingrani (44),2014
57,May 30,,CIN,"L,4-6",36,34,4,7,3,0,0,3,1,0,8,0,1,0,1,0,1,0,.252,.305,.393,.698,5,13,R,M.Leake (49),2014
58,May 31,,CIN,"L,0-5",35,32,0,6,2,0,0,0,2,0,9,1,0,0,0,1,0,0,.250,.304,.391,.695,8,16,R,J.Cueto (74),2014
2014
59,Jun 1,,CIN,"L,3-4",36,34,3,9,1,0,0,3,1,0,8,0,0,1,0,1,0,0,.251,.304,.389,.693,6,15,R,A.Simon (50),2014
60,Jun 3,@,COL,"W,4-2",38,33,4,9,3,1,2,4,3,0,1,1,1,0,0,2,1,0,.251,.304,.392,.697,7,14,L,J.De La Rosa (48),2014
61,Jun 4,@,COL,"W,16-8",51,44,16,21,3,0,2,15,4,0,8,1,0,2,1,1,1,0,.256,.309,.398,.707,8,18,R,J.Lyles (38),2014
62,Jun 5,@,COL,"W,12-7",47,42,12,19,4,0,3,12,2,0,7,0,1,2,0,0,0,0,.260,.312,.406,.717,8,16,R,J.Nicasio (20),2014
63,Jun 6,,ATL,"L,2-5",34,32,2,5,1,0,1,2,2,0,9,0,0,0,0,0,0,0,.258,.310,.404,.714,5,15,R,J.Teheran (65),2014
64,Jun 7,,ATL,"W,4-3",47,41,4,12,1,0,1,3,4,0,4,0,2,0,1,1,2,0,.259,.311,.403,.715,12,16,R,E.Santana (62),2014
65,Jun 8,,ATL,"W,6-5",37,29,6,8,1,0,2,6,7,0,5,0,1,0,0,2,1,0,.259,.313,.405,.718,7,16,R,A.Harang (50),2014
66,Jun 9,,HOU,"L,3-4",36,32,3,6,2,0,0,2,4,0,13,0,0,0,0,1,0,0,.258,.312,.403,.715,6,13,R,J.Cosart (56),2014
67,Jun 10,,HOU,"W,4-1",34,29,4,7,3,1,1,3,4,1,5,0,0,1,1,1,1,1,.258,.312,.404,.717,6,12,R,B.Peacock (63),2014
68,Jun 11,@,HOU,"L,1-5",31,30,1,5,0,0,1,1,1,0,5,0,0,0,0,2,0,0,.257,.311,.402,.713,3,9,L,D.Keuchel (72),2014
69,Jun 12,@,HOU,"L,4-5",40,37,4,8,2,0,2,3,0,0,8,1,0,1,1,0,2,0,.256,.310,.403,.713,6,10,R,S.Feldman (61),2014
70,Jun 13,@,LAD,"L,3-4",42,40,3,13,2,0,0,3,2,0,10,0,0,0,0,0,0,0,.257,.310,.402,.713,12,14,L,C.Kershaw (63),2014
71,Jun 14,@,LAD,"L,4-6",36,36,4,9,2,0,2,4,0,0,5,0,0,0,0,0,0,0,.257,.310,.403,.713,5,13,R,D.Haren (47),2014
72,Jun 15,@,LAD,"W,6-3",37,35,6,8,1,0,2,3,2,0,8,0,0,0,1,0,1,0,.257,.309,.404,.713,4,16,R,J.Beckett (61),2014
73,Jun 16,,MIL,"L,3-9",36,34,3,11,0,0,0,3,0,0,9,1,1,0,0,3,0,0,.257,.310,.403,.712,6,13,R,W.Peralta (53),2014
74,Jun 17,,MIL,"L,5-7",40,35,5,7,1,0,1,5,3,0,7,2,0,0,1,0,0,0,.257,.309,.402,.711,8,13,R,K.Lohse (50),2014
75,Jun 18,,MIL,"W,4-3",35,35,4,9,2,2,0,4,0,0,5,0,0,0,1,1,2,0,.257,.309,.402,.711,5,10,R,M.Garza (59),2014
76,Jun 19,,MIL,"L,1-4",33,33,1,7,1,0,0,1,0,0,7,0,0,0,0,1,1,0,.256,.308,.400,.708,5,13,R,Y.Gallardo (67),2014
77,Jun 20,,SFG,"W,4-1",30,28,4,7,2,1,0,4,1,0,2,0,0,1,0,1,1,0,.256,.307,.400,.707,2,15,R,T.Lincecum (42),2014
78,Jun 21,,SFG,"L,4-6",39,35,4,9,5,0,0,4,4,0,6,0,0,0,0,0,0,0,.256,.308,.400,.707,8,15,R,R.Vogelsong (41),2014
79,Jun 22,,SFG,"L,1-4",31,29,1,3,0,0,0,1,2,0,8,0,0,0,1,1,0,0,.254,.306,.397,.703,3,14,L,M.Bumgarner (81),2014
80,Jun 24,,CLE,"W,9-8",68,57,9,19,2,0,1,9,9,3,12,1,1,0,0,1,1,0,.256,.309,.397,.706,19,22,R,J.Masterson (30),2014
81,Jun 25,,CLE,"L,1-6",32,29,1,5,1,0,0,1,3,0,10,0,0,0,0,2,0,1,.255,.308,.395,.703,4,11,R,C.Kluber (76),2014
82,Jun 27,@,SDP,"W,2-1",34,31,2,7,1,0,0,2,2,1,8,0,1,0,0,1,0,1,.255,.308,.394,.702,5,12,R,T.Ross (65),2014
83,Jun 28,@,SDP,"W,3-1",37,31,3,5,0,1,1,3,4,1,5,1,0,1,1,1,1,0,.254,.307,.393,.700,7,15,L,E.Stults (51),2014
84,Jun 29,@,SDP,"L,1-2",33,28,1,5,0,0,0,1,4,0,4,0,1,0,0,3,1,0,.253,.307,.391,.698,5,13,R,O.Despaigne (58),2014
2014
85,Jul 1,@,PIT,"L,2-3",38,36,2,11,0,0,0,2,1,0,4,0,1,0,0,0,1,0,.254,.307,.390,.697,9,11,L,J.Locke (60),2014
86,Jul 2,@,PIT,"L,1-5",38,34,1,8,1,0,0,1,3,0,7,1,0,0,0,1,0,0,.254,.307,.388,.696,10,14,R,C.Morton (60),2014
87,Jul 3,@,PIT,"W,10-2",42,38,10,13,2,1,1,10,3,0,7,0,1,0,0,0,0,1,.255,.308,.390,.699,5,16,R,V.Worley (61),2014
88,Jul 4,@,ATL,"L,2-5",34,33,2,7,1,0,0,1,1,0,8,0,0,0,0,1,0,0,.254,.308,.389,.696,5,12,R,E.Santana (63),2014
89,Jul 5,@,ATL,"L,4-10",35,33,4,9,1,0,1,4,2,1,1,0,0,0,1,4,0,0,.254,.308,.389,.696,4,13,R,A.Harang (50),2014
90,Jul 6,@,ATL,"W,3-1",34,30,3,5,1,0,1,3,4,0,5,0,0,0,0,2,1,0,.254,.307,.388,.695,4,15,L,A.Wood (62),2014
91,Jul 7,,MIA,"W,9-1",39,35,9,11,4,2,1,9,2,0,4,1,0,1,0,0,0,0,.254,.308,.390,.698,6,14,R,T.Koehler (15),2014
92,Jul 8,,MIA,"L,1-2",39,35,1,9,2,0,0,1,2,0,5,0,2,0,2,1,0,0,.254,.308,.390,.697,11,14,L,B.Hand (55),2014
93,Jul 9,,MIA,"W,4-3",39,35,4,9,1,1,0,4,3,1,3,0,1,0,1,0,0,1,.254,.308,.389,.697,8,14,R,N.Eovaldi (66),2014
94,Jul 11,@,SFG,"L,0-5",32,30,0,5,2,0,0,0,2,0,7,0,0,0,0,1,0,1,.254,.307,.388,.695,5,13,R,T.Lincecum (75),2014
95,Jul 12,@,SFG,"W,2-0",37,35,2,9,4,0,1,2,1,1,7,0,1,0,0,0,0,0,.254,.307,.388,.695,8,12,R,R.Vogelsong (57),2014
96,Jul 13,@,SFG,"L,4-8",35,34,4,10,1,0,1,4,0,0,11,0,1,0,0,0,0,1,.254,.307,.389,.695,4,15,L,M.Bumgarner (42),2014
97,Jul 18,,CHC,"W,5-4",35,33,5,12,1,0,1,5,1,0,5,0,0,1,0,1,0,0,.255,.307,.390,.697,6,17,R,E.Jackson (45),2014
98,Jul 19,,CHC,"W,9-3",40,34,9,12,5,0,1,8,4,0,7,0,2,0,0,0,0,1,.256,.308,.392,.700,7,13,L,T.Wood (27),2014
99,Jul 20,,CHC,"W,3-2",33,30,3,6,3,0,0,3,3,0,10,0,0,0,0,0,2,0,.256,.308,.391,.699,6,12,R,J.Arrieta (59),2014
100,Jul 21,,DET,"L,3-4",37,33,3,8,2,0,1,3,3,1,7,0,1,0,0,0,0,0,.255,.308,.391,.699,7,14,R,J.Verlander (52),2014
101,Jul 22,,DET,"W,5-4",32,28,5,6,0,2,1,5,3,0,5,0,0,1,0,1,0,0,.255,.308,.391,.699,3,16,R,R.Porcello (60),2014
102,Jul 23,,DET,"L,5-11",38,37,5,13,3,0,1,5,1,0,7,0,0,0,0,3,2,0,.256,.308,.393,.701,6,14,R,A.Sanchez (34),2014
103,Jul 25,@,PHI,"L,5-9",40,36,5,11,3,0,1,5,3,0,11,1,0,0,0,1,0,1,.257,.309,.394,.703,8,15,R,K.Kendrick (49),2014
104,Jul 26,@,PHI,"W,10-6",50,42,10,16,3,0,2,10,3,1,10,2,2,1,0,1,0,0,.258,.311,.396,.707,10,19,L,C.Lee (39),2014
105,Jul 27,@,PHI,"L,2-4",32,30,2,6,2,0,0,2,1,0,3,0,0,1,0,2,0,0,.258,.310,.395,.705,3,12,R,R.Hernandez (62),2014
106,Jul 28,@,CIN,"W,2-1",54,50,2,8,1,0,0,2,3,0,12,0,1,0,0,1,0,0,.256,.309,.392,.701,7,18,R,H.Bailey (70),2014
107,Jul 29,@,CIN,"L,0-3",35,33,0,5,1,1,0,0,0,0,9,2,0,0,1,0,0,0,.255,.308,.391,.698,8,11,R,M.Leake (77),2014
108,Jul 30,@,CIN,"W,5-4",39,33,5,8,0,1,2,5,5,1,4,0,0,1,0,0,1,1,.255,.308,.391,.699,7,14,R,A.Simon (58),2014
109,Jul 31,,PIT,"W,7-4",38,35,7,10,1,0,3,5,2,0,6,1,0,0,1,0,0,0,.255,.308,.393,.701,7,15,L,J.Locke (33),2014
2014
110,Aug 1,,PIT,"L,4-9",38,34,4,8,1,0,1,3,2,0,9,2,0,0,0,0,1,1,.255,.308,.393,.701,7,14,R,E.Volquez (44),2014
111,Aug 2,,PIT,"L,3-8",41,37,3,9,1,0,1,3,4,1,5,0,0,0,1,0,0,0,.255,.308,.392,.701,11,16,R,V.Worley (55),2014
112,Aug 3,,PIT,"W,3-2",36,31,3,7,2,0,0,3,3,0,7,0,2,0,0,1,0,0,.255,.308,.391,.700,4,13,L,F.Liriano (61),2014
113,Aug 5,,KCR,"L,2-12",35,33,2,5,3,0,0,2,2,0,10,0,0,0,1,0,0,0,.254,.307,.390,.698,6,14,L,D.Duffy (63),2014
114,Aug 6,,KCR,"L,3-4",41,38,3,12,1,1,0,3,2,0,11,0,0,1,0,0,0,0,.255,.308,.390,.698,11,16,R,Y.Ventura (55),2014
115,Aug 7,,KCR,"L,2-6",34,32,2,7,0,0,0,2,0,0,4,0,1,1,0,0,0,0,.254,.307,.389,.696,5,14,R,J.Guthrie (69),2014
116,Aug 8,,COL,"W,5-3",38,31,5,8,1,2,1,4,6,0,5,1,0,0,0,1,1,0,.254,.308,.390,.698,9,15,L,T.Matzek (44),2014
117,Aug 9,,COL,"W,14-4",40,38,14,15,4,0,3,13,1,0,5,0,0,1,0,0,1,0,.256,.309,.393,.702,2,13,L,J.De La Rosa (46),2014
118,Aug 10,,COL,"L,3-5",43,38,3,8,1,0,0,2,4,0,9,0,1,0,1,0,0,0,.255,.308,.392,.700,10,15,L,F.Morales (52),2014
119,Aug 13 (1),@,CLE,"L,2-3",32,29,2,4,1,0,0,1,3,0,11,0,0,0,0,1,1,1,.254,.308,.390,.698,3,9,R,T.Bauer (73),2014
120,Aug 13 (2),@,CLE,"W,1-0",48,42,1,8,1,0,0,1,4,1,10,0,2,0,0,0,0,0,.254,.307,.388,.696,11,10,R,J.Tomlin (64),2014
121,Aug 14,@,MIA,"L,4-5",41,36,4,6,1,2,0,4,5,1,11,0,0,0,0,0,2,0,.253,.307,.388,.695,7,13,R,B.Penny (41),2014
122,Aug 15,@,MIA,"W,3-2",35,32,3,6,0,0,2,3,2,0,4,0,1,0,0,0,0,0,.253,.306,.388,.694,5,12,L,B.Hand (56),2014
123,Aug 16,@,MIA,"L,1-2",32,30,1,6,1,0,0,1,1,0,8,0,0,1,0,1,2,0,.252,.306,.386,.692,4,11,R,H.Alvarez (68),2014
124,Aug 17,@,MIA,"L,3-10",38,35,3,9,1,0,0,3,3,0,10,0,0,0,0,1,1,0,.252,.306,.386,.692,8,15,R,T.Koehler (57),2014
125,Aug 18,@,WSN,"L,4-5",45,38,4,9,1,0,2,4,5,0,6,0,1,1,0,2,1,0,.252,.306,.386,.692,8,16,R,J.Zimmermann (56),2014
126,Aug 19,@,WSN,"L,1-8",29,28,1,3,1,0,1,1,1,0,6,0,0,0,0,2,0,0,.251,.305,.385,.690,1,13,R,S.Strasburg (75),2014
127,Aug 20,@,WSN,"L,2-3",36,33,2,7,0,0,1,2,3,1,4,0,0,0,0,1,1,0,.251,.305,.384,.689,7,14,R,T.Roark (68),2014
