Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc), Year
61,Jun 11,,COL,"W,6-0",40,37,6,13,2,1,2,6,3,0,5,0,0,0,1,1,1,0,.262,.309,.385,.694,10,11,L,C.Rusin (21),2015
62,Jun 12,,COL,"W,5-1",36,31,5,8,1,0,2,5,4,0,4,1,0,0,0,1,2,0,.262,.310,.386,.696,7,14,R,K.Kendrick (54),2015
63,Jun 13,,COL,"W,4-1",32,28,4,4,1,0,1,4,4,1,6,0,0,0,0,0,2,0,.260,.309,.385,.694,4,13,R,D.Hale (50),2015
64,Jun 14,,COL,"L,1-4",37,31,1,5,1,0,0,1,5,0,8,0,1,0,2,1,1,1,.259,.308,.382,.691,9,16,L,J.De La Rosa (65),2015
65,Jun 15,,NYY,"W,2-1",35,33,2,10,2,0,1,2,1,0,8,1,0,0,1,1,0,0,.259,.309,.383,.692,9,13,R,M.Tanaka (57),2015
66,Jun 16,,NYY,"W,12-2",44,39,12,16,1,1,1,12,3,0,7,1,1,0,0,0,0,0,.262,.312,.386,.698,8,14,R,N.Eovaldi (2),2015
67,Jun 17,@,NYY,"L,1-2",34,30,1,3,0,0,1,1,4,0,12,0,0,0,0,0,0,0,.260,.310,.384,.694,6,9,R,M.Pineda (75),2015
68,Jun 18,@,NYY,"L,4-9",37,35,4,10,0,1,1,4,0,0,12,1,0,1,0,1,0,0,.260,.310,.385,.695,6,11,L,C.Sabathia (57),2015
69,Jun 19,@,CIN,"L,0-5",34,30,0,4,1,0,0,0,3,0,9,1,0,0,0,1,0,0,.259,.309,.382,.691,7,13,R,M.Leake (77),2015
70,Jun 20,@,CIN,"W,5-0",37,33,5,6,3,0,2,5,3,1,5,1,0,0,0,0,1,0,.258,.308,.383,.691,5,12,R,A.DeSclafani (47),2015
71,Jun 21,@,CIN,"L,2-5",38,36,2,9,2,0,1,2,2,1,9,0,0,0,1,0,1,0,.257,.308,.383,.691,9,15,R,M.Lorenzen (57),2015
72,Jun 23,,STL,"L,3-4",37,35,3,10,2,0,1,3,2,1,11,0,0,0,0,2,0,0,.258,.308,.384,.692,7,16,R,C.Martinez (57),2015
73,Jun 24,,STL,"L,1-6",34,34,1,7,0,0,1,1,0,0,5,0,0,0,0,0,1,0,.257,.307,.382,.689,6,13,L,J.Garcia (67),2015
74,Jun 25,,STL,"L,1-5",35,30,1,4,0,0,1,1,4,0,7,0,1,0,0,0,0,0,.256,.306,.381,.687,7,15,R,L.Lynn (70),2015
75,Jun 26,,LAD,"L,1-7",32,31,1,6,0,0,0,1,1,0,16,0,0,0,0,0,1,2,.255,.305,.378,.684,4,12,L,B.Anderson (72),2015
76,Jun 27,,LAD,"W,3-2",31,30,3,8,2,0,0,0,0,0,12,0,1,0,1,1,1,0,.255,.305,.378,.683,4,12,L,C.Kershaw (64),2015
77,Jun 28,,LAD,"L,0-2",32,31,0,5,2,0,0,0,1,0,8,0,0,0,0,0,0,1,.254,.303,.376,.679,5,15,R,Z.Greinke (76),2015
78,Jun 30,,SFG,"W,5-3",37,30,5,9,1,0,2,5,4,0,4,0,2,1,0,0,1,0,.254,.304,.378,.682,8,15,R,R.Vogelsong (43),2015
2015
79,Jul 1,,SFG,"W,6-5",31,26,6,8,1,1,1,5,4,0,2,1,0,0,0,5,0,1,.255,.305,.379,.685,1,13,R,C.Heston (48),2015
80,Jul 2,,SFG,"W,5-4",36,31,5,8,1,1,2,5,5,0,4,0,0,0,0,1,1,0,.255,.306,.381,.687,7,13,R,M.Cain (31),2015
81,Jul 3,@,CHC,"W,2-1",36,31,2,5,0,0,2,2,4,0,10,0,1,0,0,0,3,0,.254,.306,.381,.687,7,14,R,J.Hammel (65),2015
82,Jul 4,@,CHC,"L,2-7",41,39,2,10,3,0,0,2,2,0,7,0,0,0,2,0,1,0,.254,.305,.380,.686,12,15,L,C.Richard (52),2015
83,Jul 5,@,CHC,"L,0-2",31,30,0,5,0,0,0,0,1,0,8,0,0,0,0,1,0,0,.253,.304,.378,.682,4,11,R,K.Hendricks (73),2015
84,Jul 7,@,BOS,"L,3-4",36,33,3,7,4,0,0,3,2,0,12,0,1,0,0,0,0,0,.253,.304,.378,.681,6,11,L,W.Miley (55),2015
85,Jul 8,@,BOS,"L,3-6",37,36,3,10,0,0,1,3,1,0,6,0,0,0,0,1,1,0,.253,.304,.377,.681,7,10,R,R.Porcello (51),2015
86,Jul 9,,CIN,"W,2-0",32,26,2,5,2,0,0,1,5,0,6,1,0,0,0,2,3,1,.252,.304,.376,.680,6,13,R,M.Lorenzen (55),2015
87,Jul 10,,CIN,"L,0-1",32,30,0,4,1,0,0,0,1,0,13,0,1,0,0,0,0,0,.251,.303,.374,.677,5,14,R,M.Leake (85),2015
88,Jul 11,,CIN,"W,14-3",45,43,14,21,3,0,2,14,1,1,4,0,1,0,0,1,0,0,.255,.305,.379,.684,7,15,R,R.Iglesias (29),2015
89,Jul 12,,CIN,"W,8-1",36,35,8,10,4,0,0,7,1,0,4,0,0,0,1,1,2,0,.255,.305,.379,.685,4,15,R,J.Cueto (38),2015
90,Jul 17,@,PHI,"L,3-6",36,33,3,9,2,0,1,3,3,0,4,0,0,0,0,2,1,0,.255,.306,.380,.685,6,15,L,A.Morgan (57),2015
91,Jul 18,@,PHI,"L,1-3",36,35,1,10,4,0,0,1,1,0,8,0,0,0,0,1,1,0,.255,.306,.380,.686,8,13,R,C.Billingsley (60),2015
92,Jul 19,@,PHI,"L,7-8",42,38,7,14,2,0,0,7,2,0,5,0,1,1,0,0,1,1,.257,.307,.380,.687,8,16,L,C.Hamels (24),2015
93,Jul 20,@,ARI,"L,1-3",36,30,1,7,0,0,1,1,6,0,3,0,0,0,0,4,0,0,.257,.307,.380,.687,8,15,R,R.De La Rosa (59),2015
94,Jul 21,@,ARI,"W,3-0",37,35,3,9,1,0,1,3,2,0,6,0,0,0,0,0,2,1,.257,.307,.380,.687,7,15,R,J.Hellickson (65),2015
95,Jul 22,@,ARI,"W,5-3",37,32,5,7,5,1,0,5,3,0,8,1,0,1,1,1,1,1,.256,.307,.380,.687,5,14,L,R.Ray (37),2015
96,Jul 23,@,SDP,"W,4-0",37,35,4,10,0,0,0,2,1,0,9,0,1,0,0,1,2,0,.257,.307,.379,.686,6,12,R,T.Ross (47),2015
97,Jul 24,@,SDP,"L,1-3",37,32,1,5,2,1,0,1,3,0,6,2,0,0,0,0,1,0,.256,.307,.378,.685,9,15,R,A.Cashner (67),2015
98,Jul 25,@,SDP,"L,1-3",35,34,1,8,2,1,1,1,1,0,10,0,0,0,0,1,0,0,.255,.306,.379,.685,7,14,R,I.Kennedy (60),2015
99,Jul 26,@,SDP,"L,2-3",34,28,2,4,0,0,1,2,2,0,5,1,2,1,0,0,0,0,.254,.305,.378,.683,5,12,R,O.Despaigne (65),2015
100,Jul 28,,WSN,"W,4-1",36,30,4,11,0,1,0,4,4,3,3,0,1,1,0,1,0,2,.255,.307,.379,.685,8,14,R,J.Zimmermann (44),2015
101,Jul 29,,WSN,"L,2-7",35,31,2,5,2,0,0,2,2,0,7,2,0,0,0,0,0,0,.255,.306,.377,.683,6,13,R,D.Fister (59),2015
102,Jul 30,,WSN,"L,0-1",31,27,0,3,0,0,0,0,3,0,9,0,1,0,0,2,1,0,.253,.305,.375,.680,4,17,R,M.Scherzer (74),2015
103,Jul 31,,SDP,"L,3-8",40,38,3,5,0,0,2,3,2,0,8,0,0,0,0,0,1,0,.252,.304,.374,.678,4,16,R,I.Kennedy (64),2015
2015
104,Aug 1,,SDP,"L,3-5",34,33,3,5,0,0,0,3,1,0,7,0,0,0,0,0,0,0,.251,.303,.372,.675,4,13,R,O.Despaigne (54),2015
105,Aug 2,,SDP,"W,5-2",35,29,5,7,2,0,1,5,4,0,6,0,1,1,0,0,1,1,.251,.303,.372,.675,5,15,R,J.Shields (56),2015
106,Aug 3,,NYM,"L,1-12",34,34,1,7,2,0,0,1,0,0,5,0,0,0,0,0,1,0,.251,.302,.371,.673,6,16,R,B.Colon (69),2015
107,Aug 4,,NYM,"L,1-5",36,31,1,7,0,0,0,1,1,0,7,2,2,0,1,2,0,0,.250,.302,.370,.672,8,16,L,J.Niese (70),2015
108,Aug 5,,NYM,"L,6-8",39,37,6,10,3,0,0,6,2,0,8,0,0,0,0,0,0,0,.251,.302,.370,.672,6,13,R,M.Harvey (79),2015
109,Aug 6,@,ATL,"L,8-9",44,36,8,13,2,0,1,8,4,0,4,1,1,2,0,1,1,0,.252,.303,.371,.674,9,15,R,M.Wisler (30),2015
110,Aug 7,@,ATL,"L,3-6",36,32,3,8,0,1,0,3,2,0,5,0,2,0,0,0,0,1,.252,.303,.371,.674,6,15,R,J.Teheran (52),2015
111,Aug 8,@,ATL,"L,2-7",38,32,2,6,2,0,0,2,5,0,4,1,0,0,0,0,0,0,.251,.303,.370,.673,9,13,R,M.Foltynewicz (50),2015
112,Aug 9,@,ATL,"W,4-1",42,35,4,10,1,1,0,4,5,0,7,0,2,0,0,0,3,1,.251,.304,.370,.674,11,12,R,S.Miller (50),2015
113,Aug 11,,BOS,"W,5-4",49,38,5,12,2,1,0,5,9,1,8,0,0,2,0,0,0,0,.252,.305,.370,.676,16,17,R,S.Wright (48),2015
114,Aug 12,,BOS,"W,14-6",43,40,14,17,1,2,2,14,2,0,8,0,1,0,0,0,2,0,.254,.307,.374,.681,5,14,L,E.Rodriguez (18),2015
115,Aug 14,@,STL,"L,1-3",34,32,1,7,0,0,0,0,1,0,6,1,0,0,0,1,0,0,.254,.307,.372,.679,6,11,L,J.Garcia (74),2015
116,Aug 15,@,STL,"L,2-6",36,35,2,9,0,0,1,1,1,0,6,0,0,0,0,1,0,0,.254,.306,.372,.678,7,13,R,J.Lackey (62),2015
117,Aug 16,@,STL,"W,6-4",38,36,6,10,0,2,0,6,1,0,6,0,1,0,2,0,1,1,.254,.306,.372,.678,5,16,R,C.Martinez (40),2015
118,Aug 17,@,MIL,"W,6-2",40,37,6,12,2,0,1,6,1,0,5,0,1,1,0,0,1,0,.255,.307,.373,.680,7,14,R,M.Garza (33),2015
119,Aug 18,@,MIL,"W,9-6",45,40,9,13,2,1,0,7,3,0,8,2,0,0,1,1,3,0,.255,.308,.374,.681,9,18,R,T.Cravy (21),2015
120,Aug 19,@,MIL,"L,7-8",42,36,7,11,2,1,2,7,5,0,6,0,1,0,0,0,3,0,.256,.308,.375,.684,8,13,R,W.Peralta (24),2015
121,Aug 20,,PHI,"W,9-7",40,31,9,11,0,1,2,8,7,0,8,0,0,2,0,2,1,0,.256,.310,.377,.687,7,14,R,J.Williams (4),2015
122,Aug 21,,PHI,"L,1-7",34,33,1,8,1,1,1,1,1,0,7,0,0,0,0,1,0,0,.256,.309,.378,.687,6,14,R,J.Eickhoff (66),2015
123,Aug 22,,PHI,"L,2-4",35,30,2,3,3,0,0,2,5,1,4,0,0,0,0,0,1,0,.255,.309,.376,.685,6,14,R,A.Harang (64),2015
124,Aug 23,,PHI,"L,0-2",30,28,0,3,0,0,0,0,2,0,7,0,0,0,0,0,1,2,.254,.308,.374,.682,3,14,R,A.Nola (80),2015
125,Aug 24,,PIT,"L,2-5",35,34,2,9,1,0,0,2,1,0,6,0,0,0,0,2,0,0,.254,.307,.374,.681,6,15,L,J.Happ (69),2015
126,Aug 25,,PIT,"W,5-2",33,31,5,10,5,1,0,4,1,0,5,0,1,0,0,0,5,0,.255,.308,.375,.683,4,10,R,C.Morton (37),2015
127,Aug 26,,PIT,"L,2-7",32,30,2,5,2,0,1,2,1,0,6,0,1,0,0,1,0,0,.254,.307,.375,.682,3,12,L,J.Locke (61),2015
128,Aug 27,,PIT,"L,1-2",32,30,1,6,0,0,0,1,0,0,5,0,1,1,0,1,0,0,.254,.306,.374,.680,4,15,R,G.Cole (68),2015
129,Aug 28,@,WSN,"W,4-3",35,34,4,7,2,0,2,4,0,0,9,1,0,0,0,0,0,0,.253,.306,.374,.680,4,16,R,M.Scherzer (57),2015
130,Aug 29,@,WSN,"L,1-5",33,32,1,7,1,0,1,1,1,0,5,0,0,0,1,1,0,1,.253,.305,.374,.679,5,12,R,J.Zimmermann (62),2015
131,Aug 30,@,WSN,"L,4-7",37,35,4,10,3,0,2,4,1,0,5,0,1,0,0,1,0,0,.253,.305,.375,.680,6,16,R,S.Strasburg (35),2015
132,Aug 31,@,ATL,"W,4-0",37,36,4,10,2,0,1,4,1,0,6,0,0,0,0,1,1,0,.254,.305,.376,.681,6,14,R,S.Miller (65),2015
2015
133,Sep 1,@,ATL,"W,7-1",41,38,7,11,2,0,1,7,3,0,9,0,0,0,0,0,2,0,.254,.305,.376,.681,7,13,L,M.Banuelos (33),2015
134,Sep 2,@,ATL,"W,7-3",40,37,7,14,4,0,1,7,1,0,4,0,0,2,1,2,0,0,.255,.306,.378,.684,6,16,R,W.Perez (28),2015
135,Sep 4,,NYM,"W,6-5",48,45,6,17,4,0,0,6,1,0,7,0,1,1,0,2,0,0,.256,.307,.378,.685,10,18,R,J.deGrom (46),2015
136,Sep 5,,NYM,"L,0-7",33,33,0,9,1,0,0,0,0,0,2,0,0,0,0,2,0,0,.256,.307,.378,.684,6,15,R,B.Colon (71),2015
137,Sep 6,,NYM,"W,4-3",39,34,4,9,1,0,2,4,3,1,9,1,0,1,0,1,1,0,.256,.307,.379,.685,9,17,L,S.Matz (56),2015
138,Sep 7,,MIL,"L,1-9",32,32,1,6,0,0,0,1,0,0,6,0,0,0,0,1,0,0,.256,.306,.377,.683,4,18,R,Z.Davies (69),2015
139,Sep 8,,MIL,"W,6-4",37,30,6,9,2,0,2,6,5,0,5,0,2,0,0,1,3,0,.256,.307,.378,.685,7,16,R,T.Jungmann (24),2015
140,Sep 9,,MIL,"W,5-2",34,27,5,6,2,1,0,5,6,0,7,0,1,0,0,1,1,0,.256,.307,.378,.685,5,11,R,A.Pena (53),2015
141,Sep 11,,WSN,"W,2-1",30,25,2,5,1,0,0,2,3,0,4,0,1,1,0,3,0,0,.256,.307,.378,.684,4,16,L,G.Gonzalez (57),2015
142,Sep 12,,WSN,"W,2-0",34,32,2,12,1,0,0,2,1,0,4,1,0,0,1,2,0,1,.256,.308,.378,.685,8,16,R,T.Roark (41),2015
143,Sep 13,,WSN,"L,0-5",32,30,0,5,2,0,0,0,1,0,7,0,1,0,0,1,0,0,.256,.307,.377,.684,5,14,R,M.Scherzer (78),2015
144,Sep 14,@,NYM,"L,3-4",35,32,3,6,0,0,0,3,2,1,6,1,0,0,0,1,1,0,.255,.307,.376,.682,5,14,R,L.Verrett (59),2015
145,Sep 15,@,NYM,"W,9-3",40,36,9,15,3,0,1,9,2,1,9,0,0,2,0,1,0,2,.257,.307,.377,.685,4,13,R,J.deGrom (28),2015
146,Sep 16,@,NYM,"W,6-0",39,35,6,12,2,0,3,6,3,0,5,0,0,1,0,1,0,1,.257,.308,.379,.687,6,14,R,B.Colon (44),2015
147,Sep 17,@,WSN,"W,6-4",37,35,6,11,2,0,2,6,0,0,7,0,1,1,0,1,1,0,.258,.308,.380,.688,4,16,R,T.Roark (31),2015
148,Sep 18,@,WSN,"L,4-5",41,35,4,9,3,0,1,4,4,1,11,0,1,1,0,0,0,1,.258,.308,.381,.689,7,16,R,M.Scherzer (62),2015
149,Sep 19,@,WSN,"L,2-5",37,34,2,10,1,0,0,2,1,0,8,1,1,0,0,2,0,0,.258,.308,.380,.689,8,14,R,J.Zimmermann (58),2015
150,Sep 20,@,WSN,"L,3-13",36,35,3,8,1,0,1,2,1,0,11,0,0,0,1,1,1,0,.258,.308,.380,.688,6,16,R,S.Strasburg (68),2015
151,Sep 22,,PHI,"L,2-6",33,31,2,8,0,1,1,2,2,0,3,0,0,0,0,4,0,0,.258,.308,.380,.688,4,14,R,A.Harang (56),2015
152,Sep 23,,PHI,"W,4-3",46,43,4,13,1,0,1,2,2,1,6,0,1,0,2,2,0,1,.258,.308,.380,.688,10,18,R,D.Buchanan (50),2015
153,Sep 24,,PHI,"W,1-0",30,27,1,4,0,1,0,1,1,0,5,1,1,0,1,0,1,0,.257,.308,.380,.687,5,16,R,A.Asher (70),2015
154,Sep 25,,ATL,"W,12-11",41,39,12,20,4,2,1,11,2,0,2,0,0,0,0,3,1,1,.259,.309,.383,.692,5,17,R,R.Weber (9),2015
155,Sep 26,,ATL,"W,6-2",38,28,6,9,1,0,1,6,7,2,4,0,2,1,0,0,0,1,.260,.310,.383,.693,8,16,R,J.Teheran (51),2015
156,Sep 27,,ATL,"W,9-5",39,37,9,11,3,0,3,9,1,0,5,0,1,0,3,0,3,0,.260,.310,.385,.695,6,13,R,S.Miller (31),2015
157,Sep 29,@,TBR,"L,2-4",35,34,2,9,3,0,0,2,1,0,6,0,0,0,0,2,0,0,.260,.310,.385,.695,6,9,L,M.Moore (61),2015
158,Sep 30,@,TBR,"L,4-6",38,34,4,9,3,0,0,3,4,0,9,0,0,0,0,2,0,0,.260,.310,.384,.695,7,10,L,D.Smyly (67),2015
159,Oct 1,@,TBR,"L,1-4",34,30,1,4,0,0,0,1,3,0,9,0,0,1,2,0,0,1,.259,.310,.383,.693,6,9,R,J.Odorizzi (72),2015
160,Oct 3 (1),@,PHI,"W,7-6",43,41,7,13,2,1,1,5,2,1,8,0,0,0,1,0,2,0,.260,.310,.384,.694,9,17,R,A.Harang (40),2015
161,Oct 3 (2),@,PHI,"W,5-2",39,35,5,11,2,0,0,5,3,0,4,1,0,0,0,2,0,1,.260,.310,.384,.694,7,12,R,A.Asher (33),2015
162,Oct 4,@,PHI,"L,2-7",36,35,2,8,2,0,1,1,1,0,11,0,0,0,1,1,0,0,.260,.310,.384,.694,7,15,R,D.Buchanan (62),2015
2016
1,Apr 5,,DET,"L,7-8",46,41,7,10,4,1,1,7,3,1,10,0,0,2,0,0,0,0,.244,.283,.463,.746,6,19,R,J.Verlander (57),2016
2,Apr 6,,DET,"L,3-7",40,33,3,10,4,0,0,3,4,0,6,1,1,1,0,1,0,1,.270,.329,.446,.775,10,14,R,A.Sanchez (51),2016
3,Apr 7,@,WSN,"W,6-4",43,39,6,13,3,0,0,6,4,0,7,0,0,0,0,1,1,0,.292,.352,.434,.785,10,14,R,T.Roark (30),2016
4,Apr 10,@,WSN,"L,2-4",33,31,2,7,0,2,1,2,2,0,7,0,0,0,0,2,0,1,.278,.335,.438,.773,4,14,R,J.Ross (66),2016
5,Apr 11,@,NYM,"W,10-3",47,40,10,15,2,0,2,10,5,0,11,0,1,1,0,0,1,0,.299,.357,.467,.825,10,14,L,S.Matz (14),2016
6,Apr 12,@,NYM,"W,2-1",38,33,2,9,1,0,0,2,4,0,13,0,0,1,0,0,2,1,.295,.355,.442,.797,9,16,R,N.Syndergaard (70),2016
7,Apr 13,@,NYM,"L,1-2",37,33,1,7,2,0,0,1,4,0,9,0,0,0,0,1,0,0,.284,.348,.420,.768,9,15,R,L.Verrett (70),2016
8,Apr 15,,ATL,"L,3-6",43,37,3,12,3,0,0,2,5,1,4,0,1,0,2,3,0,0,.289,.355,.418,.773,13,15,R,W.Perez (34),2016
9,Apr 16,,ATL,"L,4-6",40,35,4,8,1,0,2,4,5,0,12,0,0,0,0,0,1,0,.283,.352,.419,.771,9,15,R,B.Norris (40),2016
10,Apr 17,,ATL,"L,5-6",40,36,5,7,1,0,0,5,2,0,8,1,0,1,0,0,1,0,.274,.342,.399,.741,5,18,R,J.Chacin (54),2016
11,Apr 18,,WSN,"W,6-1",37,34,6,10,1,0,1,6,3,0,4,0,0,0,1,1,1,0,.276,.342,.401,.743,7,14,R,T.Roark (40),2016
12,Apr 19,,WSN,"L,0-7",33,31,0,5,1,0,0,0,2,0,11,0,0,0,0,1,0,0,.267,.333,.385,.719,6,14,R,S.Strasburg (84),2016
13,Apr 20,,WSN,"L,1-3",31,29,1,5,0,0,1,1,1,0,6,1,0,0,0,3,0,0,.261,.327,.378,.705,3,14,R,J.Ross (53),2016
14,Apr 21,,WSN,"W,5-1",35,30,5,9,2,0,1,5,3,0,5,1,1,0,0,2,0,0,.263,.330,.384,.714,6,16,R,M.Scherzer (32),2016
15,Apr 22,@,SFG,"L,1-8",34,34,1,8,3,0,0,1,0,0,7,0,0,0,0,1,0,0,.262,.325,.380,.704,6,12,R,J.Samardzija (68),2016
16,Apr 23,@,SFG,"L,2-7",34,33,2,8,1,1,0,2,1,0,6,0,0,0,1,2,0,1,.260,.321,.377,.698,5,14,R,J.Peavy (58),2016
17,Apr 24,@,SFG,"W,5-4",41,37,5,14,1,0,2,5,3,0,8,0,0,1,0,2,2,1,.268,.327,.389,.716,9,17,R,M.Cain (35),2016
18,Apr 25,@,LAD,"W,3-2",37,34,3,8,1,1,1,3,3,0,6,0,0,0,0,0,0,0,.266,.326,.390,.716,7,14,R,R.Stripling (40),2016
19,Apr 26,@,LAD,"W,6-3",40,38,6,11,2,1,1,6,1,0,10,1,0,0,0,0,0,0,.267,.326,.395,.721,7,15,L,C.Kershaw (53),2016
20,Apr 27,@,LAD,"W,2-0",37,34,2,8,0,0,0,2,2,0,8,1,0,0,0,1,0,0,.266,.324,.387,.711,8,16,L,S.Kazmir (55),2016
21,Apr 28,@,LAD,"W,5-3",38,36,5,9,1,0,2,4,2,0,6,0,0,0,0,0,0,0,.265,.323,.390,.713,6,15,R,K.Maeda (48),2016
22,Apr 29,@,MIL,"W,6-3",38,32,6,10,3,0,2,6,4,0,8,1,1,0,0,1,1,0,.267,.326,.399,.725,5,12,R,Z.Davies (41),2016
23,Apr 30,@,MIL,"W,7-5",51,41,7,14,2,0,4,7,9,1,12,0,1,0,1,0,0,0,.271,.334,.413,.747,17,16,R,C.Anderson (23),2016
2016
24,May 1,@,MIL,"L,5-14",43,40,5,16,2,1,1,5,2,0,0,0,1,0,0,2,0,0,.277,.338,.421,.759,11,17,R,W.Peralta (22),2016
25,May 3,,ARI,"W,7-4",38,30,7,8,1,0,2,7,5,0,7,1,1,1,1,0,0,0,.277,.340,.424,.763,7,15,L,P.Corbin (49),2016
26,May 4,,ARI,"W,4-3",34,32,4,8,2,0,1,4,2,1,5,0,0,0,1,0,0,1,.276,.338,.423,.761,6,15,R,R.De La Rosa (39),2016
27,May 5,,ARI,"W,4-0",35,33,4,9,2,0,1,4,2,1,7,0,0,0,0,0,0,0,.276,.337,.423,.760,7,16,L,R.Ray (52),2016
28,May 6,,PHI,"W,6-4",35,32,6,10,1,0,2,6,2,0,6,0,1,0,0,1,0,0,.277,.338,.427,.764,5,15,R,V.Velasquez (46),2016
29,May 7,,PHI,"L,3-4",36,35,3,10,2,0,2,3,1,0,7,0,0,0,0,1,1,0,.277,.337,.430,.766,6,16,R,J.Hellickson (43),2016
30,May 8,,PHI,"L,5-6",39,36,5,10,2,0,1,5,2,1,8,0,0,1,0,0,0,0,.277,.336,.429,.765,7,15,R,A.Nola (52),2016
31,May 9,,MIL,"W,4-1",38,33,4,12,1,1,0,3,5,0,6,0,0,0,1,2,0,0,.280,.339,.430,.769,10,14,R,W.Peralta (46),2016
32,May 10,,MIL,"L,2-10",37,34,2,8,3,0,0,2,3,0,4,0,0,0,0,0,1,0,.278,.338,.427,.765,8,15,R,Z.Davies (47),2016
33,May 11,,MIL,"W,3-2",29,27,3,5,1,0,1,3,1,0,6,0,0,1,0,0,0,1,.276,.335,.425,.759,2,14,R,C.Anderson (57),2016
34,May 13,@,WSN,"L,3-5",38,35,3,8,1,0,0,1,2,0,11,1,0,0,1,1,1,0,.275,.334,.420,.753,8,15,L,G.Gonzalez (56),2016
35,May 14 (1),@,WSN,"L,4-6",40,34,4,8,3,0,1,4,5,0,12,1,0,0,1,2,0,0,.274,.334,.419,.753,9,14,R,S.Strasburg (54),2016
36,May 14 (2),@,WSN,"W,7-1",43,38,7,11,1,1,1,7,4,1,9,1,0,0,0,0,0,0,.274,.335,.420,.755,9,16,R,T.Roark (25),2016
37,May 15,@,WSN,"W,5-1",38,33,5,9,0,0,1,3,2,1,5,0,3,0,1,1,0,0,.274,.335,.419,.753,6,14,R,J.Ross (40),2016
38,May 16,@,PHI,"W,5-3",44,33,5,10,5,0,2,5,7,2,8,0,1,2,0,1,0,0,.275,.337,.424,.761,12,15,R,J.Eickhoff (50),2016
39,May 17,@,PHI,"L,1-3",38,34,1,8,2,1,0,1,3,0,17,0,0,1,0,0,0,0,.274,.336,.422,.758,10,13,R,V.Velasquez (69),2016
40,May 18,@,PHI,"L,2-4",31,30,2,6,2,0,0,2,1,0,6,0,0,0,0,3,0,0,.272,.333,.419,.752,2,13,R,J.Hellickson (57),2016
41,May 20,,WSN,"L,1-4",36,33,1,9,0,0,1,1,2,0,8,1,0,0,0,1,0,0,.272,.333,.418,.751,8,14,R,T.Roark (63),2016
42,May 21,,WSN,"W,3-2",38,33,3,10,2,1,1,3,4,1,9,0,1,0,0,0,0,0,.273,.334,.420,.754,11,14,R,J.Ross (48),2016
43,May 22,,WSN,"L,2-8",32,32,2,6,1,0,1,2,0,0,9,0,0,0,0,0,0,0,.271,.331,.418,.749,3,15,R,M.Scherzer (70),2016
44,May 23,,TBR,"W,7-6",39,35,7,14,2,0,1,7,3,0,5,0,0,1,0,1,0,1,.274,.334,.420,.754,8,16,L,M.Moore (29),2016
45,May 24,,TBR,"L,3-4",39,36,3,8,2,0,1,3,3,0,10,0,0,0,2,1,0,0,.273,.333,.419,.752,9,16,R,J.Odorizzi (67),2016
46,May 25,@,TBR,"W,4-3",44,41,4,13,3,0,0,4,2,1,12,0,1,0,2,0,0,0,.274,.333,.418,.751,13,10,R,M.Andriese (49),2016
47,May 26,@,TBR,"W,9-1",42,41,9,15,2,0,2,9,1,0,6,0,0,0,0,1,0,0,.276,.334,.422,.756,6,9,L,D.Smyly (43),2016
48,May 27,@,ATL,"L,2-4",35,33,2,8,2,0,0,2,2,0,4,0,0,0,0,1,0,1,.276,.333,.420,.753,6,13,R,W.Perez (52),2016
49,May 28,@,ATL,"L,2-7",40,34,2,7,0,1,0,2,4,0,8,1,1,0,1,0,0,0,.274,.333,.416,.749,11,15,R,A.Blair (54),2016
50,May 29,@,ATL,"W,7-3",41,37,7,10,3,0,2,7,4,1,6,0,0,0,1,1,0,0,.274,.333,.419,.752,7,13,R,J.Teheran (46),2016
51,May 30,,PIT,"L,0-10",28,28,0,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,.272,.330,.414,.743,1,14,L,J.Locke (82),2016
52,May 31,,PIT,"W,3-1",36,34,3,10,1,0,0,2,2,0,5,0,0,0,0,0,0,0,.272,.330,.412,.742,9,13,R,G.Cole (45),2016
2016
53,Jun 1,,PIT,"W,3-2",36,32,3,7,3,0,0,2,3,1,10,1,0,0,1,0,0,0,.271,.329,.410,.739,9,16,L,J.Niese (50),2016
54,Jun 2,,PIT,"W,4-3",48,41,4,7,3,1,0,4,5,1,9,0,1,1,1,0,1,0,.269,.328,.408,.735,9,15,R,J.Nicasio (49),2016
55,Jun 3,,NYM,"L,2-6",35,33,2,7,2,0,1,2,1,0,12,0,0,1,1,1,3,0,.268,.326,.407,.733,6,14,R,N.Syndergaard (65),2016
56,Jun 4,,NYM,"L,4-6",40,36,4,9,2,0,1,3,4,0,4,0,0,0,0,1,0,0,.267,.326,.406,.732,9,17,R,B.Colon (51),2016
57,Jun 5,,NYM,"W,1-0",28,28,1,5,1,0,0,1,0,0,4,0,0,0,0,0,0,1,.266,.324,.404,.728,3,13,R,M.Harvey (68),2016
58,Jun 7,@,MIN,"L,4-6",44,43,4,10,2,1,0,4,1,0,12,0,0,0,0,0,1,0,.266,.323,.402,.725,7,10,L,P.Dean (34),2016
